date,precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,surface_pressure_mean,pluie_cumul_3j,pluie_cumul_7j,pluie_cumul_15j,humidite_moyenne_7j,amplitude_thermique,risque_proxy_pluviometrique,inondation_reelle
2015-01-01,7.6,28.3,23.5,25.2,88,11.5,1009.3,7.6,7.6,7.6,88.0,4.800000000000001,0,0
2015-01-02,10.1,28.2,23.2,24.9,88,12.7,1010.0,17.7,17.7,17.7,88.0,5.0,0,0
2015-01-03,7.4,28.1,23.3,24.9,90,10.7,1011.0,25.1,25.1,25.1,88.66666666666667,4.800000000000001,0,0
2015-01-04,4.4,28.4,23.3,25.6,88,10.5,1010.7,21.9,29.5,29.5,88.5,5.099999999999998,0,0
2015-01-05,7.8,27.3,23.8,25.3,90,13.6,1010.0,19.6,37.3,37.3,88.8,3.5,0,0
2015-01-06,12.1,26.8,23.3,24.9,90,10.6,1009.7,24.299999999999997,49.4,49.4,89.0,3.5,0,0
2015-01-07,10.3,28.1,23.2,25.2,89,13.4,1009.8,30.200000000000003,59.7,59.7,89.0,4.900000000000002,0,0
2015-01-08,4.5,28.9,23.2,25.4,87,14.0,1010.6,26.9,56.599999999999994,64.2,88.85714285714286,5.699999999999999,0,0
2015-01-09,4.0,28.0,23.3,25.0,89,11.8,1011.0,18.799999999999997,50.5,68.2,89.0,4.699999999999999,0,0
2015-01-10,1.5,29.1,23.5,25.9,87,13.4,1010.9,9.999999999999998,44.599999999999994,69.7,88.57142857142857,5.600000000000001,0,0
2015-01-11,2.3,28.8,23.7,25.7,87,16.4,1010.2,7.799999999999998,42.5,72.0,88.42857142857143,5.100000000000001,0,0
2015-01-12,10.5,27.1,24.1,25.5,89,15.8,1009.0,14.299999999999997,45.2,82.5,88.28571428571429,3.0,0,0
2015-01-13,0.2,29.2,23.1,26.0,82,15.1,1009.2,12.999999999999996,33.300000000000004,82.7,87.14285714285714,6.099999999999998,0,0
2015-01-14,3.9,28.1,24.4,25.6,87,14.0,1009.4,14.599999999999996,26.900000000000002,86.6,86.85714285714286,3.700000000000003,0,0
2015-01-15,2.6,29.1,23.5,25.8,87,13.0,1009.5,6.699999999999997,25.0,89.2,86.85714285714286,5.600000000000001,0,0
2015-01-16,3.0,28.1,23.7,25.6,88,13.9,1009.5,9.499999999999996,24.0,84.60000000000001,86.71428571428571,4.400000000000002,0,0
2015-01-17,2.7,27.1,23.5,25.2,89,11.3,1010.0,8.299999999999997,25.200000000000003,77.2,87.0,3.6000000000000014,0,0
2015-01-18,3.0,28.3,23.6,25.6,88,11.2,1010.7,8.699999999999996,25.9,72.80000000000001,87.14285714285714,4.699999999999999,0,0
2015-01-19,2.5,29.0,23.9,25.8,89,12.0,1009.3,8.199999999999996,17.9,70.9,87.14285714285714,5.100000000000001,0,0
2015-01-20,1.2,28.8,23.6,26.0,88,11.7,1008.2,6.699999999999997,18.900000000000002,64.3,88.0,5.199999999999999,0,0
2015-01-21,3.7,28.7,23.6,25.8,88,13.7,1008.7,7.399999999999997,18.700000000000003,55.900000000000006,88.14285714285714,5.099999999999998,0,0
2015-01-22,12.0,27.7,23.8,25.7,88,10.0,1009.5,16.9,28.1,57.60000000000001,88.28571428571429,3.8999999999999986,0,0
2015-01-23,8.5,29.0,24.0,25.8,89,11.5,1008.7,24.199999999999996,33.6,61.60000000000001,88.42857142857143,5.0,0,0
2015-01-24,3.5,29.1,24.0,26.0,87,12.9,1007.8,23.999999999999993,34.4,61.10000000000001,88.14285714285714,5.100000000000001,0,0
2015-01-25,6.1,28.1,24.0,25.8,88,10.8,1007.6,18.099999999999994,37.5,65.7,88.14285714285714,4.100000000000001,0,0
2015-01-26,15.5,27.1,24.1,25.6,90,14.4,1008.5,25.099999999999994,50.5,78.9,88.28571428571429,3.0,0,0
2015-01-27,18.6,28.0,23.9,25.2,90,15.5,1009.0,40.199999999999996,67.9,87.0,88.57142857142857,4.100000000000001,0,0
2015-01-28,11.0,28.1,23.7,25.3,90,12.4,1008.4,45.099999999999994,75.19999999999999,97.8,88.85714285714286,4.400000000000002,0,0
2015-01-29,8.6,28.3,23.6,25.7,87,10.9,1008.7,38.199999999999996,71.8,102.5,88.71428571428571,4.699999999999999,0,0
2015-01-30,4.6,29.7,24.1,26.4,87,11.0,1008.5,24.199999999999992,67.9,104.5,88.42857142857143,5.599999999999998,0,0
2015-01-31,8.1,28.2,24.0,25.7,89,13.0,1009.1,21.29999999999999,72.5,109.6,88.71428571428571,4.199999999999999,0,0
2015-02-01,4.2,28.2,24.7,26.0,88,12.6,1008.2,16.89999999999999,70.60000000000001,111.1,88.71428571428571,3.5,0,0
2015-02-02,5.5,27.6,24.1,25.7,90,10.6,1008.2,17.799999999999994,60.6,113.6,88.71428571428571,3.5,0,0
2015-02-03,3.6,28.3,24.4,25.8,89,11.4,1008.2,13.299999999999994,45.6,114.69999999999999,88.57142857142857,3.900000000000002,0,0
2015-02-04,4.2,29.3,24.4,26.3,88,13.0,1008.0,13.299999999999994,38.8,117.7,88.28571428571429,4.900000000000002,0,0
