quartier,latitude,longitude,nb_occurrences_inondation,altitude_m,score_frequence,score_altitude_inversee,indice_risque
Nzeng-Ayong,0.4316,9.438,2,12.0,1.0,0.8409090909090909,0.9204545454545454
PK8,0.408,9.4937,2,41.0,1.0,0.18181818181818177,0.5909090909090908
PK6,0.4057,9.4798,1,49.0,0.0,0.0,0.0
Mont-Bouët,0.3989,9.4528,2,17.0,1.0,0.7272727272727273,0.8636363636363636
Bas-de-Gué-Gué,0.4356,9.436,1,14.0,0.0,0.7954545454545454,0.3977272727272727
Oloumi,0.379,9.4656,1,5.0,0.0,1.0,0.5
Plein-Ciel,0.402,9.4739,1,21.0,0.0,0.6363636363636364,0.3181818181818182
Awendjé,0.3864,9.4737,1,13.0,0.0,0.8181818181818181,0.40909090909090906
Batterie 4,0.4187,9.428,1,15.0,0.0,0.7727272727272727,0.38636363636363635
Belle-Vue 2,0.3987,9.4695,1,17.0,0.0,0.7272727272727273,0.36363636363636365
Cité Mebiame,0.4128,9.4663,1,32.0,0.0,0.38636363636363635,0.19318181818181818
Présidence,0.3922,9.4419,1,26.0,0.0,0.5227272727272727,0.26136363636363635
